Run,Step,borrowed_books,continued_login_confirmation,student_login_status,borrowable_books,starting,guest_user_login_status
7,2,"{mk_book(mk_token(""book_A""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_B""), nil)}",{},{}
7,3,{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(1, true, mk_token(""sato""), {}, true)}","{mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
7,4,"{mk_book(mk_token(""book_B""), mk_token(""suzuki""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}","{mk_book(mk_token(""book_A""), nil)}",{},{}
7,5,"{mk_book(mk_token(""book_B""), mk_token(""suzuki""))}","{mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}","{mk_book(mk_token(""book_A""), nil)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, false)}",{}
7,6,"{mk_book(mk_token(""book_B""), mk_token(""suzuki""))}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}","{mk_book(mk_token(""book_A""), nil)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, false), mk_student(1, true, mk_token(""sato""), {}, false)}",{}
7,7,{},"{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}",{},"{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, false), mk_student(1, true, mk_token(""sato""), {}, false)}",{}
8,1,{},{},"{mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
8,2,"{mk_book(mk_token(""book_B""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil)}",{},{}
8,3,"{mk_book(mk_token(""book_A""), mk_token(""suzuki"")), mk_book(mk_token(""book_B""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}",{},{},{}
8,4,"{mk_book(mk_token(""book_B""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true)}","{mk_book(mk_token(""book_A""), nil)}",{},{}
8,5,"{mk_book(mk_token(""book_B""), mk_token(""sato""))}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true)}","{mk_book(mk_token(""book_A""), nil)}",{},{}
8,6,"{mk_book(mk_token(""book_B""), mk_token(""sato""))}","{mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true)}","{mk_book(mk_token(""book_A""), nil)}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, false)}",{}
